2	temefós
3	mataderos
4	abreviaturas como asunto
5	abdomen
6	abdomen agudo
7	traumatismos abdominales
8	neoplasias abdominales
10	nervio abducens
11	virus de la leucemia murina de Abelson
12	abetalipoproteinemia
14	anomalías congénitas
15	anomalías inducidas por medicamentos
16	anomalías múltiples
17	anomalías inducidas por radiaciones
19	sistema del grupo sanguíneo ABO
20	abomaso
21	solicitantes de aborto
22	abortivos
23	abortivos no esteroideos
24	abortivos esteroideos
25	aborto espontáneo
26	aborto criminal
27	aborto eugenésico
28	aborto habitual
29	aborto incompleto
30	aborto inducido
31	aborto legal
32	aborto retenido
33	aborto séptico
34	aborto terapéutico
35	aborto veterinario
37	amenaza de aborto
38	abreacción
39	abrina
40	desprendimiento prematuro de la placenta
41	absceso
44	absentismo laboral
45	absorción
46	resumen e indización como asunto
48	Acacia
49	centros médicos académicos
50	academias e institutos
51	Acanthocephala
52	Dipetalonema
53	infecciones por Dipetalonema
54	acantocitos
56	acantosis nigricans
58	ácaros y garrapatas
59	aceleración
60	nervio accesorio
61	prevención de accidentes
62	propensión a los accidentes
68	aclimatación
69	acomodación ocular
70	contabilidad
71	contabilidad de pagos y cobros
72	acreditación
73	aculturación
74	acebutolol
76	acedapsona
77	acenaftenos
78	acenocumarol
79	acepromacina
80	Acetabularia
81	acetábulo
83	acetaldehído
84	acetales
85	acetamidas
86	acetaminofén
87	acetanilidas
88	acetato cinasa
89	acetatos
91	acetazolamida
95	anhídridos acéticos
96	acetoacetatos
97	acetohexamida
98	acetoína
99	acetoina deshidrogenasa
100	acetolactato sintasa
101	2-acetolactato mutasa
103	acetona
104	acetonitrilos
106	acetofenonas
107	acetoxiacetilaminofluoreno
108	ácido acetrizoico
109	acetil-CoA C-acetiltransferasa
110	acetil-CoA C-aciltransferasa
111	acetil-CoA carboxilasa
112	acetil-CoA hidrolasa
113	acetil coenzima A
114	acetato-CoA ligasa
115	2-acetilaminofluoreno
116	acetilación
117	acetilcarnitina
119	acetilcolinesterasa
120	acetilcisteína
121	acetildigitoxinas
122	acetildigoxinas
123	acetileno
124	acetilesterasa
